epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,25.7392,1.09463,2.75295,1.46316,0.46385,0.71481,0.52919,0.36767,0.76652,2.35483,1.1948,0.00198684,0.000662281,0.00198684,0.000662281,0.00198684,0.000662281,0.00198684,0.000662281
2,46.5502,0.82179,2.00127,1.25743,0.60698,0.74933,0.72726,0.56226,0.6516,1.76024,1.08815,0.00378949,0.00126316,0.00378949,0.00126316,0.00378949,0.00126316,0.00378949,0.00126316
3,66.5059,0.76189,1.70428,1.21615,0.62018,0.78617,0.70932,0.54043,0.64694,1.4871,1.09008,0.00539414,0.00179805,0.00539414,0.00179805,0.00539414,0.00179805,0.00539414,0.00179805
4,89.6753,0.77584,1.56855,1.21881,0.69049,0.71852,0.74097,0.56811,0.65046,1.28018,1.08683,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
5,111.214,0.73496,1.40987,1.18327,0.69728,0.77778,0.75616,0.5994,0.61057,1.16165,1.06083,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
6,133.096,0.7408,1.35137,1.1816,0.69203,0.81481,0.81891,0.62188,0.67131,1.0931,1.085,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
7,156.452,0.69812,1.25559,1.16369,0.68882,0.76667,0.8001,0.64625,0.62122,1.06457,1.06506,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
8,180.24,0.69504,1.18685,1.16213,0.71572,0.81123,0.81117,0.67057,0.59665,1.01205,1.05786,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
9,203.617,0.66992,1.14662,1.14833,0.70513,0.84138,0.82933,0.69029,0.5462,0.95654,1.02589,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
10,227.007,0.65398,1.10846,1.1292,0.73952,0.76761,0.80468,0.66515,0.53826,0.98544,1.01854,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
11,435.817,0.57867,1.06196,1.12908,0.7562,0.75556,0.82386,0.69246,0.53227,0.93699,0.99586,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
12,459.23,0.56334,0.95509,1.11415,0.70449,0.83883,0.85626,0.72645,0.52211,0.89266,0.98822,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
13,480.69,0.53544,0.89901,1.09814,0.77381,0.77778,0.85798,0.72886,0.49279,0.86579,0.97833,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
14,502.544,0.51584,0.83354,1.08244,0.73606,0.83333,0.85862,0.74081,0.48491,0.86293,0.97126,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
15,524.558,0.50076,0.81685,1.06809,0.71973,0.82963,0.87887,0.75187,0.48604,0.8053,0.97711,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
16,546.229,0.48935,0.76772,1.0594,0.77766,0.81852,0.86206,0.74636,0.49038,0.81244,0.98551,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
17,569.059,0.46567,0.7368,1.04224,0.80487,0.79439,0.87269,0.76004,0.45737,0.77468,0.95722,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
18,592.644,0.44941,0.70373,1.03084,0.73572,0.8764,0.88333,0.77609,0.45273,0.75476,0.95423,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
19,616.065,0.43803,0.68534,1.02253,0.76017,0.84815,0.88982,0.77552,0.45627,0.73769,0.95751,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
20,639.93,0.43165,0.67958,1.02025,0.76588,0.84813,0.8946,0.78323,0.45169,0.71621,0.95326,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
