epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,40.3576,0.96937,3.13796,1.44129,0.5024,0.67037,0.54392,0.40435,0.66185,2.269,1.12116,0.00198684,0.000662281,0.00198684,0.000662281,0.00198684,0.000662281,0.00198684,0.000662281
2,61.115,0.72761,2.20756,1.25855,0.60985,0.83333,0.72391,0.55987,0.62392,1.79982,1.06377,0.00359214,0.00119738,0.00359214,0.00119738,0.00359214,0.00119738,0.00359214,0.00119738
3,81.6181,0.69514,1.88295,1.21941,0.65306,0.74815,0.74498,0.57972,0.64219,1.47526,1.06897,0.00480145,0.00160048,0.00480145,0.00160048,0.00480145,0.00160048,0.00480145,0.00160048
4,103.344,0.6859,1.60912,1.20774,0.70567,0.72222,0.77895,0.61285,0.64121,1.18097,1.07363,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
5,125.593,0.66661,1.41466,1.18863,0.7306,0.81111,0.81557,0.65597,0.59126,1.11804,1.04187,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
6,146.577,0.61221,1.25767,1.15302,0.69991,0.8037,0.81362,0.65418,0.58773,1.0485,1.03183,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
7,167.629,0.58386,1.17041,1.12388,0.72157,0.85424,0.8511,0.70476,0.54856,0.97731,1.01237,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
8,188.613,0.56038,1.08593,1.10471,0.7544,0.81481,0.84618,0.7246,0.4923,0.96407,0.95723,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
9,209.922,0.52823,1.01328,1.07924,0.74655,0.82912,0.85384,0.73402,0.50352,0.91491,0.98209,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
10,231.221,0.51118,0.9729,1.08272,0.78822,0.81481,0.85823,0.72875,0.49306,0.91973,0.96537,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
